epoch,loss,mean_embed_dist,val_eer,elapsed_s
164,0.195379,3.032045,nan,16.8
165,0.196009,3.034926,4.819598,17.0
166,0.195391,3.006914,nan,17.0
167,0.194520,3.010330,nan,17.4
168,0.189954,3.041304,nan,16.8
169,0.195589,3.029110,nan,17.1
170,0.195634,2.993007,4.907035,16.9
171,0.194812,3.022874,nan,16.9
172,0.190340,3.033699,nan,17.0
173,0.188833,3.044802,nan,17.2
174,0.189153,3.069339,nan,16.7
175,0.194052,3.046920,4.662814,17.0
176,0.191460,3.071876,nan,16.8
177,0.194984,3.014541,nan,16.8
178,0.191923,3.017456,nan,17.2
179,0.189366,3.043667,nan,16.8
180,0.192401,3.029412,4.721608,16.6
181,0.188464,3.038041,nan,17.0
182,0.193672,3.032865,nan,16.7
183,0.185122,3.032036,nan,16.8
184,0.193340,3.010021,nan,17.0
185,0.187499,3.040790,5.048492,17.2
186,0.189354,3.044420,nan,16.8
187,0.185149,3.075491,nan,17.0
188,0.188589,3.026912,nan,17.1
189,0.188058,3.043715,nan,17.1
190,0.186562,3.035827,5.024623,17.1
191,0.188292,3.032970,nan,17.0
192,0.188840,3.040673,nan,17.0
193,0.187797,3.056038,nan,17.1
194,0.184016,3.067432,nan,16.8
195,0.186107,3.065595,4.254523,17.0
196,0.187676,3.056048,nan,17.1
197,0.188071,3.056878,nan,16.9
198,0.189534,3.068448,nan,16.9
199,0.185244,3.081783,nan,17.1
200,0.183922,3.063854,4.319347,17.0
