epoch,loss,mean_embed_dist,val_eer,elapsed_s
1,1.297522,0.803696,39.983920,19.1
2,1.258282,0.821569,nan,17.7
3,1.315218,0.891357,nan,16.7
4,1.281373,0.862817,nan,16.6
5,1.271625,0.894568,34.367085,17.0
6,1.275865,0.958369,nan,16.9
7,1.262315,0.834989,nan,16.6
8,1.255347,0.858222,nan,17.2
9,1.275977,0.848693,nan,20.2
10,1.304779,0.886088,34.196734,19.8
11,1.290953,0.888610,nan,18.6
12,1.276432,0.876070,nan,16.7
13,1.274464,0.917734,nan,16.7
14,1.265234,0.856977,nan,15.9
15,1.272189,0.903448,33.663819,16.8
16,1.258661,0.876911,nan,16.9
17,1.269942,0.859272,nan,16.3
18,1.263811,0.889204,nan,16.8
19,1.282919,0.912515,nan,16.7
20,1.280772,0.971681,30.171106,16.7
21,1.294978,0.920510,nan,15.4
22,1.281568,0.929970,nan,15.5
23,1.308150,0.943350,nan,15.3
24,1.284576,0.939930,nan,15.6
25,1.329296,0.945403,34.064322,15.5
26,1.316615,0.920914,nan,15.3
27,1.324292,0.908867,nan,15.4
28,1.300225,0.925277,nan,15.4
29,1.313864,0.941581,nan,15.3
30,1.269696,0.945535,33.839950,15.7
31,1.278320,0.902638,nan,15.4
32,1.248729,0.849491,nan,15.5
33,1.265095,0.854150,nan,15.6
34,1.279659,0.902064,nan,15.7
35,1.297929,0.922803,35.765075,15.4
36,1.275418,0.905248,nan,15.7
37,1.288779,0.900365,nan,15.5
38,1.273467,0.860483,nan,15.8
39,1.278712,0.866385,nan,15.6
40,1.318172,0.916388,33.190955,18.4
41,1.317794,0.814954,nan,19.1
42,1.325000,0.886677,nan,22.0
43,1.305697,0.828353,nan,17.2
44,1.295201,0.864436,nan,17.1
45,1.285505,0.883410,34.318593,16.7
46,1.306448,0.914145,nan,17.1
47,1.300021,0.885868,nan,17.1
48,1.347793,0.822629,nan,16.8
49,1.414433,0.845377,nan,16.6
50,1.445111,0.873362,43.407789,17.1
51,1.437755,0.988910,nan,16.5
52,1.411932,0.880404,nan,15.6
53,1.423610,0.922380,nan,15.8
