epoch,loss,mean_embed_dist,val_eer,elapsed_s
54,1.412696,0.720908,nan,15.5
55,1.416019,0.654810,34.802010,15.5
56,1.405569,0.678655,nan,15.6
57,1.400854,0.762341,nan,16.8
58,1.406197,0.838205,nan,18.5
59,1.401548,0.532955,nan,18.4
60,1.419514,0.512328,45.744975,17.3
61,1.422400,0.505874,nan,17.8
62,1.425917,0.444290,nan,17.4
63,1.427086,0.502583,nan,16.9
64,1.490199,0.792496,nan,17.3
65,1.399986,0.594875,34.579146,17.4
66,1.394067,0.593435,nan,17.0
67,1.390956,0.589006,nan,17.2
68,1.436797,0.570262,nan,17.4
69,1.500370,0.238246,nan,17.0
70,1.500390,0.103440,50.000000,17.2
71,1.501516,0.084416,nan,17.1
72,1.498935,0.063185,nan,16.8
73,1.500361,0.022649,nan,17.2
74,1.500338,0.014740,nan,17.2
75,1.500208,0.015024,49.998492,17.0
76,1.500372,0.029530,nan,18.2
77,1.498558,0.159927,nan,14.9
78,1.493080,0.169670,nan,17.1
79,1.492592,0.251710,nan,17.3
80,1.487488,0.630947,38.306533,17.1
81,1.489570,0.912349,nan,16.7
82,1.441330,0.797866,nan,17.4
83,1.444960,0.835969,nan,17.0
84,1.446126,0.936530,nan,16.7
85,1.432501,0.812386,31.684422,17.4
86,1.427318,0.832038,nan,16.8
87,1.405496,0.760319,nan,16.8
88,1.395443,0.669793,nan,16.9
89,1.387680,0.645673,nan,17.0
90,1.399378,0.583436,36.816834,16.8
91,1.399527,0.511736,nan,17.3
92,1.390196,0.519837,nan,17.3
93,1.383783,0.535527,nan,17.0
94,1.382060,0.563941,nan,17.4
95,1.381868,0.552825,37.919095,16.8
96,1.384847,0.597272,nan,16.9
97,1.394687,0.556425,nan,17.0
98,1.388698,0.584993,nan,16.8
99,1.388016,0.572866,nan,16.8
100,1.383738,0.528756,36.986432,17.1
101,1.387106,0.546557,nan,16.9
102,1.394496,0.565397,nan,16.9
103,1.381239,0.576513,nan,17.1
104,1.390219,0.706433,nan,16.7
105,1.409825,0.765913,38.457789,16.6
106,1.446170,0.877563,nan,17.2
107,1.427804,0.934457,nan,17.0
108,1.454382,0.773977,nan,16.8
109,1.426080,0.885957,nan,17.1
110,1.424317,0.811358,40.242714,17.1
111,1.414071,0.570233,nan,16.9
112,1.382137,0.581176,nan,17.4
113,1.404873,0.676768,nan,16.9
114,1.414069,0.572868,nan,16.9
115,1.384181,0.594234,32.558291,17.1
116,1.384994,0.592293,nan,16.8
117,1.410947,0.535303,nan,17.0
118,1.393887,0.558761,nan,17.3
119,1.377676,0.610763,nan,16.8
120,1.410045,0.522235,45.033668,16.9
121,1.394025,0.599729,nan,17.4
122,1.396652,0.590303,nan,16.8
123,1.388063,0.691611,nan,16.6
124,1.399406,0.732609,nan,17.2
125,1.373168,0.700678,37.802010,16.9
126,1.362376,0.770073,nan,16.9
127,1.366664,0.746591,nan,17.2
128,1.373623,0.616572,nan,17.0
129,1.373765,0.595762,nan,17.1
130,1.376489,0.599459,42.293216,17.4
131,1.375356,0.634461,nan,17.1
132,1.394759,0.634069,nan,16.6
133,1.391134,0.673774,nan,17.3
134,1.400335,0.644775,nan,16.6
135,1.396174,0.686012,30.672864,16.9
136,1.387969,0.711561,nan,17.1
137,1.397296,0.541163,nan,16.9
138,1.388788,0.635317,nan,16.8
139,1.390645,0.605635,nan,17.1
140,1.394106,0.594184,36.110804,16.9
141,1.420904,0.616847,nan,16.8
142,1.414244,0.618588,nan,17.2
143,1.398146,0.661146,nan,17.0
144,1.397058,0.680281,nan,16.8
145,1.392498,0.680523,35.216834,17.1
146,1.383207,0.735658,nan,17.2
147,1.379845,0.718853,nan,16.7
148,1.384263,0.777479,nan,17.1
149,1.380723,0.735873,nan,16.7
150,1.367853,0.749263,36.775879,16.7
151,1.364487,0.712328,nan,16.9
152,1.374842,0.753406,nan,16.9
153,1.372961,0.869182,nan,16.5
154,1.367497,0.802540,nan,16.9
155,1.371723,0.788075,36.440955,16.9
156,1.398085,0.784197,nan,17.1
157,1.392496,0.711689,nan,17.0
158,1.374956,0.719223,nan,16.9
159,1.371947,0.743109,nan,16.9
160,1.372442,0.768383,33.651256,17.3
161,1.380697,0.787813,nan,16.9
162,1.375856,0.771757,nan,16.9
163,1.375083,0.700797,nan,17.1
164,1.406906,0.659017,nan,17.0
165,1.403227,0.704205,38.521859,16.8
166,1.445363,0.583319,nan,17.3
167,1.413856,0.630786,nan,16.8
168,1.409673,0.742453,nan,17.0
169,1.421609,0.687795,nan,17.1
170,1.436401,0.644648,36.516583,16.9
171,1.411725,0.893355,nan,16.9
172,1.387826,0.794623,nan,17.0
173,1.395162,0.816117,nan,17.2
174,1.390037,0.839912,nan,16.6
175,1.396219,0.758610,36.313065,17.0
176,1.391939,0.892517,nan,17.9
177,1.390534,0.926217,nan,17.8
178,1.399937,1.061257,nan,17.7
179,1.366880,0.837416,nan,17.5
180,1.360407,0.769729,31.836432,17.7
181,1.360207,0.813889,nan,18.1
182,1.421500,0.941861,nan,17.1
183,1.431451,0.865183,nan,17.2
184,1.385223,0.885098,nan,17.5
185,1.372321,0.910660,35.863065,17.1
186,1.355890,0.821008,nan,16.9
