epoch,loss_mean,loss_std,embed_dist,elapsed_s
152,0.203237,0.018495,1.3994,13.1
153,0.205755,0.019054,1.3995,12.8
154,0.202629,0.018742,1.3994,12.5
155,0.201027,0.019356,1.3993,12.4
156,0.205402,0.019058,1.3994,12.8
157,0.204661,0.018113,1.3994,12.5
158,0.205825,0.017673,1.3995,12.5
159,0.203408,0.018406,1.3995,12.4
160,0.205211,0.018043,1.3994,12.5
161,0.205035,0.017930,1.3994,12.8
162,0.204734,0.020288,1.3994,12.6
163,0.204095,0.018796,1.3995,12.6
164,0.204721,0.019011,1.3995,12.3
165,0.203320,0.018355,1.3995,12.8
166,0.202901,0.017489,1.3996,12.8
167,0.203391,0.018688,1.3995,12.6
168,0.203572,0.018814,1.3995,12.6
169,0.202899,0.019969,1.3994,12.8
170,0.203641,0.018272,1.3996,12.3
171,0.205252,0.018932,1.3995,12.8
172,0.202503,0.017084,1.3994,12.7
173,0.202239,0.018122,1.3994,12.5
174,0.204540,0.018460,1.3994,11.9
175,0.206994,0.017604,1.3995,15.8
176,0.204947,0.016549,1.3994,10.7
177,0.203965,0.018364,1.3995,10.5
178,0.203736,0.020065,1.3994,9.8
179,0.204157,0.018511,1.3995,10.1
180,0.205970,0.015909,1.3995,10.3
181,0.200128,0.019085,1.3995,10.3
182,0.203734,0.019198,1.3995,10.0
183,0.201281,0.016815,1.3995,9.6
184,0.203638,0.018781,1.3996,10.0
185,0.201699,0.018663,1.3996,9.8
186,0.204845,0.017259,1.3995,10.2
187,0.204088,0.019692,1.3995,9.9
188,0.203857,0.018055,1.3996,9.7
189,0.203414,0.018752,1.3996,10.0
190,0.203943,0.019706,1.3995,9.9
191,0.204494,0.017142,1.3995,10.3
192,0.204959,0.017719,1.3995,10.0
193,0.203606,0.019352,1.3995,9.9
194,0.202431,0.018064,1.3995,10.0
195,0.204699,0.017468,1.3996,9.9
196,0.204264,0.017749,1.3996,10.4
197,0.205459,0.018158,1.3996,9.8
198,0.208853,0.017415,1.3995,9.9
199,0.205275,0.019520,1.3996,9.8
200,0.205421,0.018235,1.3996,10.0
