epoch,lr
1,1.00e-03
2,1.00e-03
3,1.00e-03
4,1.00e-03
5,1.00e-03
6,1.00e-03
7,1.00e-03
8,1.00e-03
9,1.00e-03
10,1.00e-03
11,1.00e-03
12,1.00e-03
13,1.00e-03
14,1.00e-03
15,1.00e-03
16,1.00e-03
17,1.00e-03
18,1.00e-03
19,1.00e-03
20,1.00e-03
21,1.00e-03
22,1.00e-03
23,1.00e-03
24,1.00e-03
25,1.00e-03
26,1.00e-03
27,1.00e-03
28,1.00e-03
29,1.00e-03
30,1.00e-03
31,1.00e-03
32,1.00e-03
33,1.00e-03
34,1.00e-03
35,1.00e-03
36,1.00e-03
37,1.00e-03
38,1.00e-03
39,1.00e-03
40,1.00e-03
41,1.00e-03
42,1.00e-03
43,1.00e-03
44,1.00e-03
45,1.00e-03
46,5.00e-04
47,5.00e-04
48,5.00e-04
49,5.00e-04
50,5.00e-04
51,5.00e-04
52,5.00e-04
53,5.00e-04
54,5.00e-04
55,5.00e-04
56,5.00e-04
57,5.00e-04
58,5.00e-04
59,5.00e-04
60,5.00e-04
61,5.00e-04
62,5.00e-04
63,5.00e-04
64,5.00e-04
65,5.00e-04
66,5.00e-04
67,5.00e-04
68,5.00e-04
69,5.00e-04
70,5.00e-04
71,5.00e-04
72,5.00e-04
73,5.00e-04
74,5.00e-04
75,5.00e-04
76,5.00e-04
77,5.00e-04
78,5.00e-04
79,5.00e-04
80,5.00e-04
81,5.00e-04
82,5.00e-04
83,5.00e-04
84,5.00e-04
85,5.00e-04
86,5.00e-04
87,5.00e-04
88,2.50e-04
89,2.50e-04
90,2.50e-04
91,2.50e-04
92,2.50e-04
93,2.50e-04
94,2.50e-04
95,2.50e-04
96,2.50e-04
97,2.50e-04
98,2.50e-04
99,2.50e-04
100,2.50e-04
101,2.50e-04
102,2.50e-04
103,2.50e-04
104,2.50e-04
105,2.50e-04
106,2.50e-04
107,2.50e-04
108,2.50e-04
109,1.25e-04
110,1.25e-04
111,1.25e-04
112,1.25e-04
113,1.25e-04
114,1.25e-04
115,1.25e-04
116,1.25e-04
117,1.25e-04
118,1.25e-04
119,1.25e-04
120,1.25e-04
121,1.25e-04
122,1.25e-04
123,1.25e-04
124,1.25e-04
125,1.25e-04
126,1.25e-04
127,1.25e-04
128,1.25e-04
129,1.25e-04
130,1.25e-04
131,1.25e-04
132,1.25e-04
133,1.25e-04
134,1.25e-04
135,1.25e-04
136,1.25e-04
137,1.25e-04
138,1.25e-04
139,1.25e-04
140,1.25e-04
141,6.25e-05
142,6.25e-05
143,6.25e-05
144,6.25e-05
145,6.25e-05
146,6.25e-05
147,6.25e-05
148,6.25e-05
149,6.25e-05
150,6.25e-05
151,6.25e-05
152,6.25e-05
153,6.25e-05
154,6.25e-05
155,6.25e-05
156,6.25e-05
157,6.25e-05
158,6.25e-05
159,6.25e-05
160,6.25e-05
161,6.25e-05
162,6.25e-05
163,3.13e-05
164,3.13e-05
165,3.13e-05
166,3.13e-05
167,3.13e-05
168,3.13e-05
169,3.13e-05
170,3.13e-05
171,3.13e-05
172,3.13e-05
173,3.13e-05
174,1.56e-05
175,1.56e-05
176,1.56e-05
177,1.56e-05
178,1.56e-05
179,1.56e-05
180,1.56e-05
181,1.56e-05
182,1.56e-05
183,1.56e-05
184,1.56e-05
185,1.56e-05
186,1.56e-05
187,1.56e-05
188,1.56e-05
189,1.56e-05
190,1.56e-05
191,1.56e-05
192,1.56e-05
193,7.81e-06
194,7.81e-06
195,7.81e-06
196,7.81e-06
197,7.81e-06
198,7.81e-06
199,7.81e-06
200,7.81e-06
